timestamp,zone_id,temperature_c,humidity_pct,occupancy,hvac_mode,energy_kwh
2024-01-15 08:00:00,zone_1,21.2,45.3,12,heating,2.4
2024-01-15 08:00:00,zone_2,22.1,42.1,8,heating,1.8
2024-01-15 08:00:00,zone_3,19.8,48.7,0,off,0.1
2024-01-15 08:15:00,zone_1,21.5,44.9,15,heating,2.6
2024-01-15 08:15:00,zone_2,22.3,41.8,10,heating,1.9
2024-01-15 08:15:00,zone_3,20.1,47.2,3,heating,1.2
2024-01-15 08:30:00,zone_1,21.8,44.2,18,heating,2.8
2024-01-15 08:30:00,zone_2,22.5,41.5,12,heating,2.0
2024-01-15 08:30:00,zone_3,20.5,46.1,5,heating,1.5
2024-01-15 08:45:00,zone_1,22.0,43.8,20,heating,2.9
2024-01-15 08:45:00,zone_2,22.6,41.2,14,heating,2.1
2024-01-15 08:45:00,zone_3,20.9,45.3,7,heating,1.7
2024-01-15 09:00:00,zone_1,22.2,43.5,22,cooling,3.1
2024-01-15 09:00:00,zone_2,22.8,40.9,15,heating,2.2
2024-01-15 09:00:00,zone_3,21.2,44.8,8,heating,1.8
2024-01-15 09:15:00,zone_1,22.1,43.9,21,cooling,3.0
2024-01-15 09:15:00,zone_2,22.7,41.1,14,heating,2.1
2024-01-15 09:15:00,zone_3,21.4,44.2,9,heating,1.9
2024-01-15 09:30:00,zone_1,21.9,44.3,19,cooling,2.8
2024-01-15 09:30:00,zone_2,22.5,41.4,13,heating,2.0
2024-01-15 09:30:00,zone_3,21.5,43.9,10,heating,2.0
2024-01-15 09:45:00,zone_1,21.7,44.7,17,off,0.2
2024-01-15 09:45:00,zone_2,22.4,41.7,12,heating,1.9
2024-01-15 09:45:00,zone_3,21.6,43.5,11,heating,2.1
2024-01-15 10:00:00,zone_1,21.5,45.1,15,off,0.2
2024-01-15 10:00:00,zone_2,22.2,42.0,10,off,0.2
2024-01-15 10:00:00,zone_3,21.8,43.1,,heating,2.2
2024-01-15 10:15:00,zone_1,21.3,45.5,13,off,0.2
2024-01-15 10:15:00,zone_2,22.0,42.3,8,off,0.2
2024-01-15 10:15:00,zone_3,21.9,42.8,12,heating,2.3
2024-01-15 10:30:00,zone_1,21.1,45.9,10,off,0.2
2024-01-15 10:30:00,zone_2,21.8,42.6,6,off,0.2
2024-01-15 10:30:00,zone_3,22.0,42.5,13,cooling,2.5
2024-01-15 10:45:00,zone_1,20.9,46.3,8,heating,1.5
2024-01-15 10:45:00,zone_2,21.6,42.9,5,off,0.2
2024-01-15 10:45:00,zone_3,22.1,42.2,14,cooling,2.6
2024-01-15 11:00:00,zone_1,21.1,45.8,10,heating,1.7
2024-01-15 11:00:00,zone_2,21.5,43.2,4,off,0.2
2024-01-15 11:00:00,zone_3,22.0,42.4,12,cooling,2.4
